GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 441319               SH J´S FUERZA Y VITAMINAS 200ML - EXP                                  BABY CARE                      BABY HAIR CARE                 7891010244491      6 N     20180611T1510  A      
7737001260012 441320               SH J´S FUERZA Y VITAMINAS 400ML - EXP                                  BABY CARE                      BABY HAIR CARE                 7891010244507     12 N     20180611T1510  A      
7737001260012 441330               ACOND J´S FUERZA Y VITAMINAS 200ML - EXP                               BABY CARE                      BABY HAIR CARE                 7891010244514     12 N     20180611T1510  A      
7737001260012 441346               JBABY SPRAY FUERZA Y VIT 24X200ML                                      BABY CARE                      BABY HAIR CARE                 7702031413462     24 N     20180611T1510  A      
7737001260012 441510               BANDITAS BAND-AID FROZEN BR 25 UN                                      BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010244842     24 N     20180402T1445  A      
7737001260012 50715                NTG PROT SUN FRESH AERO FPS 50 6X180ML                                 NEUTROGENA                     BEAUTY                         7891010507152      6 N     20141124T1113  A      
7737001260012 50716                NTG PROT SUN FRESH AERO FPS30 6X180ML                                  NEUTROGENA                     BEAUTY                         7891010507169      6 N     20141124T1113  A      
7737001260012 51097                NTG SUN FRESH FPS30 CUERPO 6X120ML                                     NEUTROGENA                     SUNCARE                        7891010510978      6 N     20160223T1907  A      
7737001260012 51098                NTG SUN FRESH FPS 50 CUERPO 6X120M                                     NEUTROGENA                     SUNCARE                        7891010510985      6 N     20160223T1907  A      
7737001260012 51177                BAND AID TRANSPARENTE LL40 P30                                         BAND AID                       FIRST AID                      7891010505448     72 N     20121012T1232  A      
7737001260012 51484                NTG PROT SUN FRESH FPS 30 CUERPO 6X200ML                               NEUTROGENA                     SUNCARE                        7891010514846      6 N     20160223T1907  A      
7737001260012 51672                COLONIA FRESCA CARICIA 200 ML                                          JOHNSON'S BABY                 BABY TOILETRIES                7790010516723     12 N     20140123T1601  A      
7737001260012 51673                TOALLITAS HÚMEDAS SKINCARE LL3P2                                       BABY                           BABY                           1773019851673      8 N     20131121T1634  A      
7737001260012 51719                SUND PROTETOR SOLAR FPS15 12X120ML                                     SUNDOWN                        BEAUTY                         7891010033491     12 N     20141128T1047  A      
7737001260012 51731                SUNDOWN BLOQ F30 12X120ML                                              SUNDOWN                        SUNCARE                        7702031316602     12 N     20160223T1907  A      
