GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001070017 100032               SCOTT GOURMET R COC 8X3X50UN                                           GOURMET                        KIMBERLY                       7798038155689      8 N     20041223T1704  D      
7737001070017 100780               REXONA JAB ANTIBACTERIAL FRESH 72X125GR                                REXONA.                        PERSONAL CARE                  7791293003023     72 N     20050310T0913  D      
7737001070017 100806               REXONA JAB ANTIBAC TONIC 72X125GR                                      REXONA.                        PERSONAL CARE                  7791293554433     72 N     20050506T1859  A      
7737001070017 100807               REXONA JAB ANTIBAC SENSIVE 72X125G                                     REXONA.                        PERSONAL CARE                  7791293554440     72 N     20050506T1859  A      
7737001070017 101692               DRIVE MATIC ENERGIA D LA PRIMAVERA 6X3KG                               DRIVE                          HOME CARE                      7791290780453      6 N     20050607T1515  D      
7737001070017 101693               DRIVE REG ENERGIA DE LA PRIMAVERA 6X3KG                                DRIVE                          HOME CARE                      7791290780446      6 N     20050607T1515  D      
7737001070017 103534               SUN POLVO P/MAQ LV VAJ 12X1KG                                          SUN PROGRESS                   HOME CARE                      7891038196802     12 N     20050603T1728  D      
7737001070017 103745               HUGGIES LITTLE SWIMMERS DISNEY GDE8X10UN                               HUGGIES                        KIMBERLY                         36000183450      8 N     20041213T1742  A      
7737001070017 104112               HUGGIES LITTLE SWIMMERS DISNEY PEQ8X12UN                               HUGGIES                        KIMBERLY                         36000183399      8 N     20041213T1742  A      
7737001070017 104115               HUGGIES LITTLE SWIMMERS DISNEY MED8X11UN                               HUGGIES                        KIMBERLY                         36000183429      8 N     20041213T1742  A      
7737001070017 106101               CIF CREM C/LVDINA 12X750GR                                             CIF                            HOME CARE                      7791290780606     12 N     20050905T1040  A      
7737001070017 106850               SEDAL SH CONTROL HUMECT 12X350ML                                       SEDAL                          PERSONAL CARE                  7791293003368     12 N     20050603T1728  D      
7737001070017 106869               SEDAL SH DUO SECO 12X350ML                                             SEDAL                          PERSONAL CARE                  7791293003382     12 N     20050603T1728  D      
7737001070017 106870               SEDAL SH CITRIC FRESH 12X200ML                                         SEDAL                          PERSONAL CARE                  7791293003412     12 N     20050603T1728  D      
7737001070017 106897               SEDAL SH CITRIC FRESH 12X350ML                                         SEDAL                          PERSONAL CARE                  7791293003429     12 N     20050603T1728  D      
7737001070017 106978               SEDAL AC CONTROL HUMECTANTE 12X350ML                                   SEDAL                          PERSONAL CARE                  7791293003849     12 N     20050603T1728  D      
7737001070017 107037               SEDAL SH CONTROL HUMECTANT 12X200ML                                    SEDAL                          PERSONAL CARE                  7791293003436     12 N     20050603T1728  D      
7737001070017 107099               SEDAL SH DUO REG 24X24X10ML                                            SEDAL                          PERSONAL CARE                  7791293003399    576 N     20050603T1728  A      
7737001070017 109238               SEDAL SH CONTR HUMECT REG 24X24X10ML                                   SEDAL                          PERSONAL CARE                  7791293003344    576 N     20050603T1728  D      
7737001070017 109929               SUAVE AC GUARANA 8X930ML                                               SUAVE                          PERSONAL CARE                  7791293004167      8 N     20050506T1859  D      
7737001070017 109937               SUAVE SH GUARANA 8X930ML                                               SUAVE                          PERSONAL CARE                  7791293004150      8 N     20050506T1859  D      
7737001070017 111749               REXONA DEO ROLLON CITRUS 12X53GR                                       REXONA.                        PERSONAL CARE                       78918603     12 N     20050603T1728  D      
7737001070017 112770               REXONA DEO AER MEN MAXIMUS 12X113GR                                    REXONA.                        PERSONAL CARE                  7791293004266     12 N     20050506T1859  D      
7737001070017 113032               DRIVE POLVO CARINO DEL BLANCO AE 24X800G                               DRIVE                          HOME CARE                      7791290780712     24 N     20070424T1112  D      
7737001070017 113033               DRIVE MATIC POLVO CARINO BLANCO 24X400GR                               DRIVE                          HOME CARE                      7791290780729     24 N     20050506T1859  D      
7737001070017 113034               DRIVE POLVO CARINO DEL BLANCO BE 24X800G                               DRIVE                          HOME CARE                      7791290780736     24 N     20050506T1859  D      
7737001070017 113035               DRIVE MATIC ENERGIA DEL AMANECER 24X800G                               DRIVE                          HOME CARE                      7791290780743     24 N     20050506T1859  D      
7737001070017 115504               HUGGIES PANALES PEQ CLAS 2+ACT 1 5X3X8UN                               HUGGIES                        KIMBERLY                       7736550735903      5 S     20050310T1656  D      
7737001070017 115511               HUGGIES PANALES MED CLAS 2+ACT1 5X3X12UN                               HUGGIES                        KIMBERLY                       7736550735910      5 S     20060531T1552  D      
7737001070017 115524               HUGGIES PANALES XGDE CLAS2+ACT1 5X3X24UN                               HUGGIES                        KIMBERLY                       7736550735392      5 S     20050310T1656  D      
7737001070017 115529               HUGGIES PANALES XXGDE CLAS2+ACT1 5X3X8UN                               HUGGIES                        KIMBERLY                       7736550736009      5 S     20050310T1656  D      
7737001070017 115562               DOVE AC SELLADOR DIARIO TENIDO 12X250ML                                DOVE                           PERSONAL CARE                  7898422742706     12 N     20060703T1108  D      
7737001070017 115563               DOVE SH ILUMINADOR 12X250ML                                            DOVE                           PERSONAL CARE                  7898422742560     12 N     20060703T1108  D      
7737001070017 115564               DOVE SH SUAV PROGRESIVA TENIDO 12X250ML                                DOVE                           PERSONAL CARE                  7898422742577     12 N     20060703T1108  D      
7737001070017 115565               DOVE AC RESTAURACION DIARIA 12X250ML                                   DOVE                           PERSONAL CARE                  7898422742584     12 N     20060703T1108  D      
7737001070017 115566               DOVE MASC SELLADORA INTENS TENI12X250ML                                DOVE                           PERSONAL CARE                  7898422742676     12 N     20060703T1108  D      
7737001070017 115568               DOVE MASC RESTAURACION INTENSA 12X250ML                                DOVE                           PERSONAL CARE                  7898422742669     12 N     20060703T1108  D      
7737001070017 115766               CLOSE UP CD TRIPLE MENTA AMERICANA 12X90                               CLOSE UP                       PERSONAL CARE                  7891037013520     12 N     20050603T1728  A      
7737001070017 115956               REXONA DEO STICK MAXIMUS 12X45GR                                       REXONA.                        PERSONAL CARE                       78009363     12 N     20050506T1859  D      
7737001070017 115957               REXONA DEO STICK AP MAXIMUS 12X50GR                                    REXONA.                        PERSONAL CARE                       78009356     12 N     20050506T1859  D      
7737001070017 116157               SEDAL SH CASTANOS INTENSOS 12X200ML                                    SEDAL                          PERSONAL CARE                  7791293004365     12 N     20050603T1728  D      
7737001070017 116167               SEDAL SH RUBIOS RADIANTES 12X200ML                                     SEDAL                          PERSONAL CARE                  7791293004372     12 N     20050603T1728  D      
7737001070017 116177               SEDAL AC CASTANOS INTENSOS 12X200ML                                    SEDAL                          PERSONAL CARE                  7791293004396     12 N     20050603T1728  D      
7737001070017 116185               SEDAL AC RUBIOS RADIANTES 12X200ML                                     SEDAL                          PERSONAL CARE                  7791293004402     12 N     20050603T1728  D      
7737001070017 116192               SEDAL SH CASTANOS INTENSOS 12X350ML                                    SEDAL                          PERSONAL CARE                  7791293004464     12 N     20050603T1728  D      
7737001070017 116194               SEDAL SH RUBIOS RANDIANTES 12X350ML                                    SEDAL                          PERSONAL CARE                  7791293004471     12 N     20050603T1728  D      
7737001070017 116201               SEDAL AC CASTANOS INTENSOS 12X350ML                                    SEDAL                          PERSONAL CARE                  7791293004495     12 N     20050603T1728  D      
7737001070017 116202               SEDAL AC RUBIOS RADIANTES 12X350ML                                     SEDAL                          PERSONAL CARE                  7791293004501     12 N     20050603T1728  D      
7737001070017 117170               DOVE SH THERAPY 12X400ML                                               DOVE                           PERSONAL CARE                  7791293005010     12 N     20050808T1508  D      
7737001070017 117178               DOVE SH ESSENTIAL 12X400ML                                             DOVE                           PERSONAL CARE                  7791293005027     12 N     20050808T1508  D      
7737001070017 117182               DOVE AC THERAPY 12X400ML                                               DOVE                           PERSONAL CARE                  7791293004976     12 N     20050808T1508  D      
7737001070017 117222               DOVE AC ESSENTIAL 12X400ML                                             DOVE                           PERSONAL CARE                  7791293004983     12 N     20050808T1508  D      
7737001070017 117616               HUGGIES ACTIVE SEC MED WAVE 10X18UN                                    HUGGIES                        KIMBERLY                       7794626909399     10 N     20060123T1223  D      
7737001070017 118523               CIF LV VAJ ULTRA POMELO 12X600ML                                       CIF                            HOME CARE                      7791290781054     12 N     20070508T1713  D      
7737001070017 118530               CIF LV VAJ ULTRA NARANJA 12X600ML                                      CIF                            HOME CARE                      7791290781030     12 N     20060505T1705  D      
7737001070017 118532               CIF LV VAJ ULTRA LIMON 12X600ML                                        CIF                            HOME CARE                      7791290781078     12 N     20050930T1746  D      
7737001070017 118533               CIF LV VAJ ULTRA NARANJA 12X300ML                                      CIF                            HOME CARE                      7791290781047     12 N     20060505T1705  D      
7737001070017 118535               CIF LV VAJ ULTRA POMELO 12X300ML                                       CIF                            HOME CARE                      7791290781061     12 N     20070508T1713  D      
7737001070017 118539               CIF LV VAJ ULTRA LIMON 12X300ML                                        CIF                            HOME CARE                      7791290781085     12 N     20050930T1746  D      
7737001070017 118588               SUAVE SH RULOS DEFENIDOS 12X350ML                                      SUAVE                          PERSONAL CARE                  7898422740726     12 N     20050930T1746  A      
7737001070017 118591               SUAVE SH LISO PERFECTO 12X350ML                                        SUAVE                          PERSONAL CARE                  7898422740764     12 N     20050930T1746  A      
7737001070017 118612               SUAVE SH ANTICASPA 12X350ML                                            SUAVE                          PERSONAL CARE                  7898422740771     12 N     20050930T1746  D      
7737001070017 118614               SUAVE AC RULOS DEFINIDOS 12X350ML                                      SUAVE                          PERSONAL CARE                  7898422740801     12 N     20050930T1746  A      
7737001070017 118617               SUAVE AC LISO PERFECTO 12X350ML                                        SUAVE                          PERSONAL CARE                  7898422740832     12 N     20050930T1746  A      
7737001070017 118937               KLEENEX PANUELO FAC SOFTPACK CH 72X45UN                                KLEENEX                        KIMBERLY                       7798038151100     72 N     20050603T1728  A      
7737001070017 118941               KLEENEX PANUELO FAC SOFTPACK GDE 48X45UN                               KLEENEX                        KIMBERLY                       7798038151094     48 N     20050603T1728  A      
7737001070017 118947               KLEENEX SOFTPK MINI CHICO 60X12UN                                      KLEENEX                        KIMBERLY                       7798038151667     60 N     20050930T1746  A      
7737001070017 118950               KLEENEX PAPEL HIG U S D HOJA 30MT 12X4UN                               KLEENEX                        KIMBERLY                       7798038150073     12 N     20050603T1728  D      
7737001070017 118952               KLEENEX PAPEL HIG U SOFT D HOJA 8X6X30MT                               KLEENEX                        KIMBERLY                       7798038150790      8 N     20050603T1728  A      
7737001070017 118977               KLEENEX PANUELO FAC CUBO C/AROMA 24X75UN                               KLEENEX                        KIMBERLY                       7798038151698     24 N     20050603T1728  A      
7737001070017 119280               DOVE SH ESSENTIAL CARE SCH 4X24X10ML                                   DOVE                           PERSONAL CARE                  7791293005799     96 N     20050905T1040  A      
7737001070017 119284               DOVE AC ESSENTIAL CARE SCH 4X24X10ML                                   DOVE                           PERSONAL CARE                  7791293005812     96 N     20050905T1040  A      
7737001070017 119288               DOVE SH THERAPY SCH 4X24X10ML                                          DOVE                           PERSONAL CARE                  7791293005805     96 N     20050905T1040  S      
7737001070017 119290               DOVE AC THERAPY SCH 4X24X10ML                                          DOVE                           PERSONAL CARE                  7791293005829     96 N     20050905T1040  A      
7737001070017 120116               PONDS LOC BIO HYDRATANTE SPF 12X200ML                                  PONDS                          PERSONAL CARE                  7501056330361     12 N     20060321T1737  A      
7737001070017 120117               PONDS LOC BIO HYDRATANTE DUAL 12X200ML                                 PONDS                          PERSONAL CARE                  7501056330378     12 N     20060321T1737  A      
7737001070017 120298               PONDS LOC TONICA ASTRING 12X200ML                                      PONDS                          PERSONAL CARE                  7501056330385     12 N     20070808T1506  A      
7737001070017 120540               SEDAL CR PEIN RUBIOS RADIANTES 12X300ML                                SEDAL                          PERSONAL CARE                  7898422744120     12 N     20051104T1439  D      
7737001070017 120541               SEDAL CR PEIN CASTANOS INTENSOS 12X300ML                               SEDAL                          PERSONAL CARE                  7898422744144     12 N     20051104T1439  D      
7737001070017 120753               AXE DEO ROLLON CLICK 12X53GR/50ML                                      AXE                            PERSONAL CARE                       78919976     12 N     20051104T1439  D      
7737001070017 121694               LUX JAB CREAMY PERFECTION 72X125GR                                     LUX                            PERSONAL CARE                  7898422744632     72 N     20060331T1706  D      
7737001070017 121702               LUX JAB GLOWING EXFOLIATION 72X125GR                                   LUX                            PERSONAL CARE                  7898422744694     72 N     20060331T1706  D      
7737001070017 121707               LUX JAB PETAL TOUCH 72X125GR                                           LUX                            PERSONAL CARE                  7898422744717     72 N     20060331T1706  D      
7737001070017 12417                NEVEX MATIC BLS.6X3KG                                                  NEVEX                          HOME CARE                      7791290205314      6 N     20031027T1603  D      
7737001070017 12418                NEVEX MATIC FRESH BLS 6X3KG                                            NEVEX                          HOME CARE                      7791290205321      6 N     20031027T1603  D      
7737001070017 12454                REXONA DEO AER BAMBOO 12X105GR (175ML)                                 REXONA.                        PERSONAL CARE                  7791293884592     12 N     20031027T1551  D      
7737001070017 125209               DOVE SH RIZOS 12X250ML                                                 DOVE                           PERSONAL CARE                  7898422744946     12 N     20060929T1325  D      
7737001070017 125210               DOVE AC RIZOS 12X250ML                                                 DOVE                           PERSONAL CARE                  7898422744939     12 N     20060929T1325  D      
7737001070017 125211               DOVE CR PEIN RIZOS 12X200ML                                            DOVE                           PERSONAL CARE                  7898422744915     12 N     20060929T1325  D      
7737001070017 12860                DRIVE REG ENERGIA DE PRIMAVERA 24X400GR                                DRIVE                          HOME CARE                      7791290204669     24 N     20031027T1603  D      
7737001070017 12861                DRIVE REG ENERGIA DE PRIMAVERA 24X800GR                                DRIVE                          HOME CARE                      7791290204676     24 N     20031027T1603  D      
7737001070017 12862                DRIVE MATIC ENERG DE PRIMAVERA 24X800GR                                DRIVE                          HOME CARE                      7791290204683     24 N     20031027T1603  D      
7737001070017 128848               DAYS TOALLAS FEM MULTIFORMA 40X8UN                                     DAYS                           KIMBERLY                       7793620923226     40 N     20050930T1746  D      
7737001070017 128851               CIF CR 2X375GR PRM CANASTA                                             CIF                            HOME CARE                      7730165317875      2 N     20051104T1439  D      
7737001070017 13035                REXONA DEO ROLLON COBALT 12X53GR (50ML)                                REXONA.                        PERSONAL CARE                       78915237     12 N     20031027T1551  D      
7737001070017 130916               REXONA DEO ROLLON CRYSTAL 12X53GR/50ML                                 REXONA.                        PERSONAL CARE                       78921030     12 N     20060308T1207  D      
7737001070017 130919               DOVE DEO ROLLON CLEAR TONE 12X55GR/50ML                                DOVE                           PERSONAL CARE                       78921047     12 N     20060420T1235  D      
7737001070017 133126               LUX JAB SUAVIDAD DE ALOE VERA 108X90GR                                 LUX                            PERSONAL CARE                  7791293006444    108 N     20060331T1706  D      
7737001070017 133127               LUX JAB GUARANA ENERGIZANTE 108X90GR                                   LUX                            PERSONAL CARE                  7791293006437    108 N     20060331T1706  D      
7737001070017 133165               LUX JAB FRESCURA ENERGIZANTE 24X3X125GR                                LUX                            PERSONAL CARE                  7791293006512     24 N     20060331T1706  D      
7737001070017 133167               LUX JAB DELICADEZA DE PETALOS 24X3X125GR                               LUX                            PERSONAL CARE                  7791293006536     24 N     20060331T1706  D      
7737001070017 133169               LUX JAB PERFECCION CREMOSA 24X3X125GR                                  LUX                            PERSONAL CARE                  7791293006451     24 N     20060331T1706  D      
7737001070017 133172               LUX JAB FRESCURA ENERGIZANTE 72X125GR                                  LUX                            PERSONAL CARE                  7791293006543     72 N     20060331T1706  D      
7737001070017 133262               REXONA DEO ROLLON SPORT FAN 12X53GR/50ML                               REXONA.                        PERSONAL CARE                       78921054     12 N     20060308T1207  D      
7737001070017 133744               LUX JAB EXFOLIACION LUMINOSA 24X3X125GR                                LUX                            PERSONAL CARE                  7791293006529     24 N     20060331T1706  D      
7737001070017 133746               DOVE AC LISO Y NATURAL 12X250ML                                        DOVE                           PERSONAL CARE                  7898422745288     12 N     20060929T1325  D      
7737001070017 133758               NEVEX HURRA CLASICO 12X1,25LT                                          HURRA                          HOME CARE                      7730165318087     12 N     20060120T1211  D      
7737001070017 135263               SEDAL CR PEIN NEGROS LUMINOSOS 12X300ML                                SEDAL                          PERSONAL CARE                  7898422745318     12 N     20060308T1207  D      
7737001070017 135267               DOVE CR PEINAR LISO Y NATURAL 12X200ML                                 DOVE                           PERSONAL CARE                  7898422745295     12 N     20060929T1325  D      
7737001070017 136059               DOVE LOC HIDRATACION FRESCA 12X200ML                                   DOVE                           PERSONAL CARE                  7898422745356     12 N     20060804T1841  A      
7737001070017 136842               SEDAL AC NEGROS LUMINOSOS 12X200ML                                     SEDAL                          PERSONAL CARE                  7791293006796     12 N     20060131T1123  D      
7737001070017 136843               SEDAL AC NEGROS LUMINOSOS 12X350ML                                     SEDAL                          PERSONAL CARE                  7791293006741     12 N     20060131T1123  D      
