GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7730900780001 100138               OFF REPELENTE AEROSOL X 290 CM3                                        7790520971210 N                6 
7730900780001 100424               RAID ESPIRALES 120 GRS                                                 7790520984487 N               48 
7730900780001 100449               BLEM LUSTRA AERO NARANJA 400CC                                         7790520984357 N               12 
7730900780001 100467               BLEM LUSTRA AERO LAVANDA                                               7790520987297 N               12 
7730900780001 100468               OFF REPELENTE EXTRA DURACION AEROSOL X165 CM3                          7790520001337 N                6 
7730900780001 100469               OFF REPELENTE AEROSOL X165 CM3                                         7790520161055 N                6 
7730900780001 100472               OFF REPELENTE 290 CM3                                                  7790520971210 N                6 
7730900780001 100473               OFF REPELENTE CREMA  X 200 GRS                                         7790520002303 N               12 
7730900780001 100474               OFF REPELENTE CREMA  X 60 GRS                                               77991973 N               24 
7730900780001 100476               OFF REPELENTE COSMETIC CREMA X 90 GRS                                       77918352 N               12 
7730900780001 100477               OFF REPELENTE SPRAY X200 CM3                                           7790520002402 N               12 
7730900780001 100818               MAS DOBLE ACCION 400 CM3                                               7730900781374 N               12 
7730900780001 100908               RAID MATAMOSCAS X 400 CM3                                              7790520508485 N               12 
7730900780001 101685               RAID ANTIPOLILLA CONTINUO                                              7790520011732 N               24 
7730900780001 102201               RAID EXTERMINADOR AEROSOL 400 CM3                                      7790520010520 N                6 
7730900780001 103006               RAID ANTIPOLILLAS AEROSOL 400 CM3                                      7790520011770 N                6 
7730900780001 105282               RAID CASA Y JARDIN AEROSOL 360 CM3                                     7790520986153 N               12 
7730900780001 105448               RAID 6 CEBOS                                                           7790520986771 N               12 
7730900780001 106135               RAID MAX AEROSOL 400 CM3                                               7790520982100 N               12 
7730900780001 113203               KIT CERA PASTA 200 GRS                                                 7501032920586 N               12 
7730900780001 114706               MAS APARATO MAZDA III                                                  7730900781398 N               12 
7730900780001 115448               RAID 45 NOCHES REPUESTO                                                7790520154408 N               12 
7730900780001 116187               RAID TABLETAS X 24                                                     7790520155450 N               80 
7730900780001 116196               MAS TABLETAS MOSCAS X12                                                7730900781503 N               20 
7730900780001 116208               MAS TABLETAS MOSQUITOS X12                                             7730900781381 N               20 
7730900780001 116209               MAS TABLETAS MOSQUITOS X24                                             7730900780025 N               20 
7730900780001 116211               MAS 45 NOCHES REPUESTO                                                 7730900780087 N               12 
7730900780001 116217               RAID TABLETAS X 12                                                     7790520155702 N               20 
7730900780001 151689               MR MUSCULO GEL CON LAVANDINA 500 CM3                                   7790520150509 N               12 
7730900780001 152003               MR MUSCULO OXYPOWER POLVO 400 GRS                                      7790520987365 N               12 
7730900780001 155079               MR MUSCULO VIDRIOS DOYPACK 500 ML                                      7790520155047 N               12 
7730900780001 155083               MR MUSCULO MULTIACCION DOYPACK 500ML                                   7790520985569 N               12 
