GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7737001220016 0002445              OREO 36 X 111 GR.                                                      7794600009435 N               36 
7737001220016 0003106              FLAN LIGHT VAINILLA 8X6X16 GR.                                         7793333671278 N               48 
7737001220016 0003240              GELATINA SIN SABOR 8X6X42 GR.                                          7793333058000 N               48 
7737001220016 0003242              GELATINA LIGHT FRUTILLA 8X6X25                                         7793333671308 N               48 
7737001220016 0003320              POSTRE LIGHT VAINILLA 8X6X50GR                                         7793333671285 N               48 
7737001220016 0003322              POSTRE LIGHT CHOC. 8X6X60 GR.                                          7793333671292 N               48 
7737001220016 0005512              OREO BANADA C/CHOCO 12X204 GR                                          7794600000142 N               12 
7737001220016 0013684              TOBLERONE 10 X 200 GRS                                                 7614500035788 N               10 
7737001220016 0013791              TOBLERONE WHITE 20X100 GR                                              7614500010310 N               20 
7737001220016 0015000              CAFÉ SENS.TORR. SUAVE 24 X 250G                                        7792360002123 N               24 
7737001220016 0015001              CAFÉ SENS.TORR. SUAVE 12 X 500G                                        7792360002130 N               12 
7737001220016 0015002              CAFÉ SENS.TORR. INTENSO 24 X 250G                                      7792360002079 N               24 
7737001220016 0015003              CAFÉ SENS.TORR. INTENSO 24 X 500G                                      7792360002062 N               12 
7737001220016 0043639              TOBLERONE DARK 20X100GR.                                               7614500010617 N               20 
7737001220016 0089590              TOBLERONE LECHE 20X50GR.                                                    76145513 N               20 
7737001220016 0089595              TOBLERONE LECHE 20X100GR.                                              7614500010013 N               20 
7737001220016 0093426              CLUB SOCIAL PIZZA 24 X 225 GR                                          7794600459674 N               24 
7737001220016 0093429              CLUB SOCIAL JAMON 24  X 225 GR                                         7794600459629 N               24 
7737001220016 0093436              TRAKINAS VAINILLA  36PQ.X120GR                                         7794600459797 N               36 
7737001220016 0093455              CLUB SOCIAL QUESO 24  X 225 GR                                         7794600459902 N               24 
7737001220016 0102264              MILKA WHOLE NUTS 12 X 300 GRS                                          7622201022631 N               12 
7737001220016 0102272              MILKA NOISETTE 12 X 300 GRS                                            7622201022716 N               12 
7737001220016 0102280              MILKA TRIOLADE 12 X 300 GRS                                            7622201022792 N               12 
7737001220016 0325399              PHILADELPHIA ORIGINAL 20X150GR                                         7893333325000 N               20 
7737001220016 0325400              PHILADELPHIA LIGHT 20X150GR                                            7893333325109 N               20 
7737001220016 0325545              BIS 60 X 140 GRS                                                       7896019603430 N               60 
7737001220016 0325590              M JOY CHOCO CRUNCHY 36 X 26 GR                                              77921604 N               36 
7737001220016 0345560              M JOY LECHE 30 X 70 GRS                                                7622300056483 N               30 
7737001220016 0345562              M JOY ALMENDRAS 27 X 70 GRS                                            7622300056506 N               30 
7737001220016 0345567              MILKA J.CHOCO CRUNCHY 30UNX70G                                         7622300056568 N               30 
7737001220016 0347846              SPAGHETTI 12 X 500 GRS                                                 7622300078317 N               12 
7737001220016 0347850              HELICES 12 X 500 GRS                                                   7794600007233 N               12 
7737001220016 0347852              CODITOS 12 X 500 GRS                                                   7794600005123 N               12 
7737001220016 0347855              MOSTACHOL RAY MED 12 X 500 GRS                                         7794600006250 N               12 
7737001220016 0347857              FETTUCCINE 12 X 500 GRS                                                7794600001330 N               12 
7737001220016 0348073              CLIGHT DUO KIWI/MELON 16X18X8G                                         7622300080129 N              288 
7737001220016 0349096              POSTRE INSTANT CHOCOLA 8X6X106                                         7793333941357 N               48 
7737001220016 0349108              POSTRE ROYAL 5 MIN DDL C/PEP 40 X 125                                  7793333941388 N               40 
7737001220016 0349123              POSTRE INSTANT VAINILLA 8X6X80                                         7793333941340 N               48 
7737001220016 0349131              CEREALITAS SALVADO 36 X 200 GR                                         7794910452648 N               36 
7737001220016 0349213              DESAYUNO 48 X 100 GRS.                                                 7794600460199 N               48 
7737001220016 0349216              DESAYUNO 16 X 300 GRS.                                                 7794600460205 N               16 
7737001220016 0349346              LULU CHOCOLATE 55 X 115 GRS                                            7730110000517 N               55 
7737001220016 0349354              WAFFLE LULU CHOC/FRU 40X140 GR                                         7730110332205 N               40 
7737001220016 0349586              C SOCIAL CHIPS ORIGINAL 24X120                                         7622300093983 N               24 
7737001220016 0349589              C SOCIAL CHIPS CREM&CEB 24X120                                         7622300094010 N               24 
7737001220016 0349592              C SOCIAL CHIPS PARMESAN 24X120                                         7622300094041 N               24 
7737001220016 0349784              POLVO HORNEAR ROYAL 96X60 GRS                                          7622300095833 N               96 
7737001220016 0349935              POLVO ROYAL 72 X 120 GRS                                               7622300095840 N               72 
7737001220016 0350148              GELATINA LIGHT DOB.DUR 48X25 G                                         7730110000562 N               48 
