GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1010000500           ADOBO 500 G                                                            MONTE CUDINE                                                  7730177001038      1 N     20150520T1102  A      
7730962840019 1010001000           ADOBO 1 KG                                                             MONTE CUDINE                                                  7730177001021      1 N     20150520T1102  A      
7730962840019 1010006170           ADOBO 6 X 170 G                                                        MONTE CUDINE                                                  7730177003292      6 N     20150520T1102  A      
7730962840019 1010010015           ADOBO T.INGLESA 10 X 15 G                                              TIENDA INGLESA                                                7730127003358     10 N     20150520T1102  A      
7730962840019 1010025004           ADOBO 25 X 4 G                                                         MONTE CUDINE                                                       77304261     25 N     20150520T1102  A      
7730962840019 1010025015           ADOBO 25 X 15 G                                                        MONTE CUDINE                                                  7730177000222     25 N     20150520T1102  A      
7730962840019 1010025025           ADOBO 25 X 25 G                                                        MONTE CUDINE                                                  7730177000130     25 N     20150520T1102  A      
7730962840019 1010025050           ADOBO 25 X 50 G                                                        MONTE CUDINE                                                  7730177003919     25 N     20150520T1102  A      
7730962840019 1010025100           ADOBO 25 X 100 G                                                       MONTE CUDINE                                                  7730177000055     25 N     20150520T1102  A      
7730962840019 1010050004           ADOBO 50 X 4 G                                                         MONTE CUDINE                                                       77304261     50 N     20150520T1102  A      
7730962840019 1017000250           ADOBO LA ROSA 250 G                                                    LA ROSA                                                       7730177002912      1 N     20150520T1102  A      
7730962840019 1017000500           ADOBO LA ROSA 500 G                                                    LA ROSA                                                       7730177001991      1 N     20150520T1102  A      
7730962840019 1017001000           ADOBO LA ROSA 1 KG                                                     LA ROSA                                                       7730177001717      1 N     20150520T1102  A      
7730962840019 1021000500           AJI MOLIDO 500 G                                                       MONTE CUDINE                                                  7730177000918      1 N     20150520T1102  A      
7730962840019 1021001000           AJI MOLIDO 1 KG                                                        MONTE CUDINE                                                  7730177000901      1 N     20150520T1102  A      
7730962840019 1021025025           AJI MOLIDO 25 X 25 G                                                   MONTE CUDINE                                                  7730177000291     25 N     20150520T1102  A      
7730962840019 1027000500           AJI MOLIDO LA ROSA 500 G                                               LA ROSA                                                       7730177002028      1 N     20150520T1102  A      
7730962840019 1027001000           AJI MOLIDO LA ROSA 1 KG                                                LA ROSA                                                       7730177001724      1 N     20150520T1102  A      
7730962840019 1030000500           AJIL 500 G                                                             MONTE CUDINE                                                  7730177000895      1 N     20150520T1102  A      
7730962840019 1030001000           AJIL 1 KG                                                              MONTE CUDINE                                                  7730177000888      1 N     20150520T1102  A      
7730962840019 1030006085           AJIL 6 X 85G                                                           MONTE CUDINE                                                  7730177004497      6 N     20150520T1102  A      
7730962840019 1030010025           AJO Y PEREJIL T.INGLESA 10 X 25 G                                      TIENDA INGLESA                                                7730127003341     10 N     20150520T1102  A      
7730962840019 1030025008           AJIL 25 X 8 G                                                          MONTE CUDINE                                                       77303806     25 N     20150520T1102  A      
7730962840019 1030025025           AJIL 25 X 25 G                                                         MONTE CUDINE                                                  7730177000215     25 N     20150520T1102  A      
7730962840019 1030025040           AJIL 25 X 40 G                                                         MONTE CUDINE                                                  7730177000673     25 N     20150520T1102  A      
7730962840019 1030050008           AJIL 50 X 8 G                                                          MONTE CUDINE                                                       77303806     50 N     20150520T1102  A      
7730962840019 1037000250           AJO Y PEREJIL LA ROSA 250 G                                            LA ROSA                                                       7730177002929      1 N     20150520T1102  A      
7730962840019 1037000500           AJO Y PEREJIL LA ROSA 500 G                                            LA ROSA                                                       7730177002011      1 N     20150520T1102  A      
7730962840019 1037001000           AJO Y PEREJIL LA ROSA 1 KG                                             LA ROSA                                                       7730177001731      1 N     20150520T1102  A      
7730962840019 1041301000           AJO EN ESCAMAS 1 KG                                                    MONTE CUDINE                                                  7730177003551      1 N     20150520T1102  A      
7730962840019 1041306200           AJO EN ESCAMAS 6 X 200 G                                               MONTE CUDINE                                                  7730177003315      6 N     20150520T1102  A      
7730962840019 1041325008           AJO EN ESCAMAS 25 X 8 G                                                MONTE CUDINE                                                  7730177003575     25 N     20150520T1102  A      
7730962840019 1041325025           AJO EN ESCAMAS 25 X 25 G                                               MONTE CUDINE                                                  7730177003582     25 N     20150520T1102  A      
7730962840019 1041350008           AJO EN ESCAMAS 50 X 8 G                                                MONTE CUDINE                                                  7730177003575     50 N     20150520T1102  A      
7730962840019 1051125008           ANIS EN GRANO 25 X 8 G                                                 MONTE CUDINE                                                       77304902     25 N     20150520T1102  A      
7730962840019 1051125025           ANIS EN GRANO 25 X 25 G                                                MONTE CUDINE                                                  7730177000314     25 N     20150520T1102  A      
7730962840019 1060025001           AZAFRAN 25 X 1 CAPSULA                                                 MONTE CUDINE                                                  7730177000475     25 N     20150520T1102  A      
